ISO,Rank2018,FR_Country,EN_country,ES_country,Score 2018,Progression RANK,Rank 2017,Score 2017,Zone,Diff Prog Score,Score Exa,Score A
TCD,123,Tchad,Chad,Chad,"38,45",-2,121,"39,66",Afrique,"-1,2062009349068","28,3","38,45"
IDN,124,Indonésie,Indonesia,Indonesia,"39,68",0,124,"39,93",Asie-Pacifique,"-0,257828085788148","17,9","39,68"
QAT,125,Qatar,Qatar,Catar,"40,16",-2,123,"39,83",MENA,"0,325163964600748",0,"40,16"
ZWE,126,Zimbabwe,Zimbabwe,Zimbabue,"40,53",2,128,"41,44",Afrique,"-0,918782834869091",23,"40,53"
OMN,127,Oman,Oman,Omàn,"40,67",-1,126,"40,46",MENA,"0,214589419874457",34,"40,67"
ARE,128,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"40,86",-9,119,"39,39",MENA,"1,47257751015286","40,8","40,37"
CMR,129,Cameroun,Cameroon,Camerœn,"40,92",1,130,"41,59",Afrique,"-0,668073483385825","34,7","40,72"
COL,130,Colombie,Colombia,Colombia,"41,03",-1,129,"41,47",Amériques,"-0,435034494026155","46,8","39,58"
LKA,131,Sri Lanka,Sri Lanka,Sri Lanka,"41,37",10,141,"44,34",Asie-Pacifique,"-2,97235491021087","6,9","41,37"
JOR,132,Jordanie,Jordan,Jordania,"41,71",6,138,"43,24",MENA,"-1,52666968853605",0,"41,71"
PHL,133,Philippines,Philippines,Filipinas,"42,53",-6,127,"41,08",Asie-Pacifique,"1,44995560330377","58,9","38,43"
PSE,134,Palestine,Palestine,Palestina,"42,96",1,135,"42,90",MENA,"0,064298538434265","48,7","40,68"
MAR,135,Maroc,Morocco,Marruecos,"43,13",-2,133,"42,42",MENA,"0,706896187505777","27,1","43,13"
DZA,136,Algérie,Algeria,Argelia,"43,13",-2,134,"42,83",MENA,"0,30061294500949","13,9","43,13"
MMR,137,Birmanie,Myanmar,Birmania,"43,15",-6,131,"41,82",Asie-Pacifique,"1,32925660566612","47,4","41,66"
IND,138,Inde,India,India,"43,24",-2,136,"42,94",Asie-Pacifique,"0,297461476726156","60,1","39,01"
PAK,139,Pakistan,Pakistan,Pakistàn,"43,24",0,139,"43,55",Asie-Pacifique,"-0,309375885686755","49,7","41,63"
