ISO,Rank2014,FR_Country,EN_country,ES_country,Score 2014,Progression RANK,Rank 2013,Score 2013,Zone,Diff Prog Score ,Score Exa,ScoreA
COL,126,Colombie,Colombia,Colombia,"36,68",3,129,"37,48",Amériques,"-0,799999999999997",,
UKR,127,Ukraine,Ukraine,Ucrania,"36,93",-1,126,"36,79",EEAC,"0,140000000000001",,
AFG,128,Afghanistan,Afghanistan,Afganistàn,"37,07",0,128,"37,36",Asie-Pacifique,"-0,289999999999999",,
HND,129,Honduras,Honduras,Honduras,"37,14",-2,127,"36,92",Amériques,"0,219999999999999",,
THA,130,Thaïlande,Thailand,Tailandia,"37,94",5,135,"38,6",Asie-Pacifique,"-0,660000000000004",,
CMR,131,Cameroun,Cameroon,Camerœn,"38,13",-11,120,"34,78",Afrique,"3,35",,
IDN,132,Indonésie,Indonesia,Indonesia,"38,15",7,139,"41,05",Asie-Pacifique,"-2,9",,
TUN,133,Tunisie,Tunisia,Tœnez,"38,69",5,138,"39,93",MENA,"-1,24",,
OMN,134,Oman,Oman,Omàn,"38,83",7,141,"41,51",MENA,"-2,68",,
ZWE,135,Zimbabwe,Zimbabwe,Zimbabue,"39,19",-2,133,"38,12",Afrique,"1,07",,
MAR,136,Maroc,Morocco,Marruecos,"39,72",0,136,"39,04",MENA,"0,68",,
LBY,137,Libye,Libya,Libia,"39,84",-6,131,"37,86",MENA,"1,98",,
PSE,138,Palestine,Palestine,Palestina,"40,11",8,146,"43,09",MENA,"-2,98",,
TCD,139,Tchad,Chad,Chad,"40,22",-18,121,"34,87",Afrique,"5,35",,
IND,140,Inde,India,India,"40,34",0,140,"41,22",Asie-Pacifique,"-0,879999999999995",,
JOR,141,Jordanie,Jordan,Jordania,"40,42",-7,134,"38,47",MENA,"1,95",,
BDI,142,Burundi,Burundi,Burundi,"40,5",-10,132,"38,02",Afrique,"2,48",,
ETH,143,Éthiopie,Ethiopia,Etiopía,"40,58",-6,137,"39,57",Afrique,"1,01",,
KHM,144,Cambodge,Cambodia,Camboya,"40,97",-1,143,"41,81",Asie-Pacifique,"-0,840000000000003",,
MMR,145,Birmanie,Myanmar,Birmania,"41,43",6,151,"44,71",Asie-Pacifique,"-3,28",,
BGD,146,Bangladesh,Bangladesh,Bangladés,"42,58",-2,144,"42,01",Asie-Pacifique,"0,57",,
MYS,147,Malaisie,Malaysia,Malasia,"42,73",-2,145,"42,73",Asie-Pacifique,0,,
RUS,148,Russie,Russian Federation,Rusia,"42,78",0,148,"43,42",EEAC,"-0,640000000000001",,
PHL,149,Philippines,Philippines,Filipinas,"43,69",-2,147,"43,11",Asie-Pacifique,"0,579999999999998",,
SGP,150,Singapour    ,Singapore,Singapur,"44,29",-1,149,"43,43",Asie-Pacifique,"0,859999999999999",,
COD,151,RD Congo,The Democratic Republic Of The Congo,RD Congo,"44,64",-9,142,"41,66",Afrique,"2,98",,
MEX,152,Mexique,Mexico,México,"45,04",1,153,"45,3",Amériques,"-0,259999999999998",,
IRQ,153,Irak,Iraq,Irak,"45,44",-3,150,"44,67",MENA,"0,769999999999996",,
TUR,154,Turquie,Turkey,Turquía,"45,87",0,154,"46,56",EEAC,"-0,690000000000005",,
GMB,155,Gambie,Gambia,Gambia,"46,42",-3,152,"45,09",Afrique,"1,33",,
SWZ,156,Swaziland,Swaziland,Suazilandia,"46,76",-1,155,"46,76",Afrique,0,,
BLR,157,Bélarus,Belarus,Bielorrusia,"47,82",0,157,"48,35",EEAC,"-0,530000000000001",,
PAK,158,Pakistan,Pakistan,Pakistàn,"51,46",1,159,"51,31",Asie-Pacifique,"0,149999999999999",,
EGY,159,Égypte,Egypt,Egipto,"51,89",-1,158,"48,66",MENA,"3,23",,
AZE,160,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"52,87",-4,156,"47,73",EEAC,"5,14",,
KAZ,161,Kazakhstan,Kazakhstan,Kazajistàn,"54,94",-1,160,"55,08",EEAC,"-0,140000000000001",,
RWA,162,Rwanda,Rwanda,Ruanda,"56,57",-1,161,"55,46",Afrique,"1,11",,
BHR,163,Bahreïn,Bahrain,Baréin,"58,26",2,165,"62,75",MENA,"-4,49",,
SAU,164,Arabie saoudite,Saudi Arabia,Arabia Saudita,"58,3",-1,163,"56,88",MENA,"1,41999999999999",,
LKA,165,Sri Lanka,Sri Lanka,Sri Lanka,"59,13",-3,162,"56,59",Asie-Pacifique,"2,54",,
UZB,166,Ouzbékistan,Uzbekistan,Uzbekistàn,"61,01",-2,164,"60,39",EEAC,"0,619999999999997",,
YEM,167,Yémen,Yemen,Yemen,"67,26",2,169,"69,22",MENA,"-1,95999999999999",,
GNQ,168,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"67,95",-2,166,"67,2",Afrique,"0,75",,
DJI,169,Djibouti,Djibouti,Yibuti,"70,34",-2,167,"67,4",Afrique,"2,94",,
CUB,170,Cuba,Cuba,Cuba,"70,92",1,171,"71,64",Amériques,"-0,719999999999999",,
LAO,171,Laos,Lao People's Democratic Republic,Laos,"71,22",-3,168,"67,99",Asie-Pacifique,"3,23",,
SDN,172,Soudan,Sudan,Sudàn,"71,88",-2,170,"70,06",Afrique,"1,81999999999999",,
IRN,173,Iran,Islamic Republic of Iran,Iràn,"72,29",1,174,"73,4",MENA,"-1,11",,
VNM,174,Viêt Nam,Vietnam,Vietnam,"72,36",-2,172,"71,78",Asie-Pacifique,"0,579999999999998",,
CHN,175,Chine,China,China,"72,91",-2,173,"73,07",Asie-Pacifique,"-0,159999999999997",,
SOM,176,Somalie,Somalia,Somalia,"73,19",-1,175,"73,59",Afrique,"-0,400000000000006",,
SYR,177,Syrie,Syrian Arab Republic,Siria,"77,04",-1,176,"78,53",MENA,"-1,49",,
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"80,81",-1,177,"79,14",EEAC,"1,67",,
PRK,179,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"81,96",-1,178,"83,9",Asie-Pacifique,"-1,94000000000001",,
ERI,180,Érythrée,Eritrea,Eritrea,"84,83",-1,179,"84,83",Afrique,0,,
