ISO,FR_Country,2013,2014,2015,2016,2017,2018,2019,2020,Zone
GAB,Gabon,"28,69","31,32","31,38","32,2","34,83","32,37","35,60","37,2",Afrique
GBR,Royaume-Uni,"16,89","19,93",20,"21,7","22,26","23,25","22,23","22,93",UE Balkans
GEO,Géorgie,"30,09","29,78","27,7","27,96","27,76","27,34","28,98","28,59",EEAC
GHA,Ghana,"17,27","16,29","15,5","17,95","17,95","18,41","20,81","22,26",Afrique
GIN,Guinée,"28,49","31,67","32,56","33,08","33,15","31,90","33,49","34,34",Afrique
GMB,Gambie,"45,09","46,42","44,5","46,53","46,7","38,36","31,35","30,62",Afrique
GNB,Guinée-Bissau,"28,94","30,05","28,7","29,03","30,09","30,09","30,95","32,06",Afrique
GNQ,Guinée équatoriale,"67,2","67,95","66,23","66,47","66,47","66,47","58,35","56,38",Afrique
GRC,Grèce,"28,46","31,33","31,01","30,35","30,89","29,19","29,08","28,8",UE Balkans
GTM,Guatemala ,"29,39","36,61","37,92","38,03","39,33","36,17","35,94","35,74",Amériques
GUY,Guyana,"27,08","27,08","27,21","27,07","26,8","26,25","26,63","26,63",Amériques
HKG,Hong-Kong,"26,16","26,55","27,76","28,5","29,46","29,04","29,65","30,01",Asie-Pacifique
HND,Honduras,"36,92","37,14","39,27","44,62","43,75","45,23","48,53","48,2",Amériques
HRV,Croatie,"26,61","26,82","26,12","27,91","29,59","28,94","29,03","28,51",UE Balkans
HTI,Haïti,"24,09","23,53","25,08","24,66","26,36","26,82","29,00","30,2",Amériques
HUN,Hongrie,"26,09","26,73","27,44","28,17","29,01","29,11","30,44","30,84",UE Balkans
IDN,Indonésie,"41,05","38,15","40,75","41,72","39,93","39,68","36,77","36,82",Asie-Pacifique
IND,Inde,"41,22","40,34","40,49","43,17","42,94","43,24","45,67","45,33",Asie-Pacifique
IRL,Irlande,"10,06","10,87","11,2","12,4","14,08","14,59","15,00","12,6",UE Balkans
IRN,Iran,"73,4","72,29","72,32","66,52","65,12","60,71","64,41","64,81",MENA
IRQ,Irak,"44,67","45,44","47,76","54,35","54,03","56,56","52,60","55,37",MENA
ISL,Islande,"8,49","8,5","13,87","15,3","13,03","14,10","14,71","15,12",UE Balkans
ISR,Israël,"32,97","31,19","32,09","32,58","31,01","30,26","30,80","30,84",MENA
ITA,Italie,"26,11","23,75","27,94","28,93","26,26","24,12","24,98","23,69",UE Balkans
JAM,Jamaïque,"9,88","10,9","11,18","12,45","12,73","11,33","11,13","10,51",Amériques
JOR,Jordanie,"38,47","40,42","42,07","44,49","43,24","41,71","43,11","42,08",MENA
JPN,Japon,"25,17","26,02","26,95","28,67","29,44","28,64","29,36","28,86",Asie-Pacifique
KAZ,Kazakhstan,"55,08","54,94","53,46","54,55","54,01","54,41","52,82","54,11",EEAC
KEN,Kenya,"27,8","30,7","32,07","31,16","31,2","30,82","32,44","33,72",Afrique
KGZ,Kirghizstan,"32,2","31,24","30,69","30,16","30,92","31,00","29,92","30,19",EEAC
KHM,Cambodge,"41,81","40,97","40,99","40,7","42,07","45,90","45,90","45,46",Asie-Pacifique
KOR,Corée du Sud,"24,48","25,66","26,55","28,58","27,61","23,51","24,94","23,7",Asie-Pacifique
KWT,Koweït,"28,28","30,71","30,84","32,59","33,61","31,91","33,86","34,3",MENA
LAO,Laos,"67,99","71,22","71,25","71,58","66,41","66,41","64,49","64,28",Asie-Pacifique
LBN,Liban,"30,15","31,89","31,81","31,95","33,01","31,15","32,44","33,19",MENA
LBR,Liberia,"29,89","30,65","30,78","30,71","31,12","30,33","31,49","32,25",Afrique
LBY,Libye,"37,86","39,84","45,99","57,89","56,81","56,79","55,77","55,77",MENA
LIE,Liechtenstein,"7,35","7,02","17,67","18,36","20,31","20,49","20,49","19,52",UE Balkans
LKA,Sri Lanka,"56,59","59,13","60,28","44,96","44,34","41,37","39,61","41,94",Asie-Pacifique
LSO,Lesotho,"28,36","28,36","28,36","28,78","28,78","28,78","29,74","30,45",Afrique
LTU,Lituanie,"18,24","19,2","18,8","19,95","21,37","22,20","22,06","21,19",UE Balkans
